Method,Accuracy,F1_Macro,F1_Weighted
ANOVA_200,0.9805825242718447,0.9844374891323248,0.9805356772059902
MutualInfo_200,0.9757281553398058,0.9805930503604922,0.9756997349004575
PCA_50,0.970873786407767,0.9727964209096284,0.9708779674661704
PCA_200,0.970873786407767,0.9727964209096284,0.9708779674661704
ANOVA_50,0.970873786407767,0.9727964209096284,0.9708779674661704
MutualInfo_100,0.970873786407767,0.9727964209096284,0.9708779674661704
ANOVA_100,0.970873786407767,0.9727964209096284,0.9708779674661704
PCA_100,0.9660194174757282,0.9689690897567159,0.9660526461529286
MutualInfo_50,0.9660194174757282,0.9689690897567159,0.9660526461529286
